date,Handicapper,player_name,Leauge,stat_projection,stat_type,Over/Under,confidence_score,actual_statistic,Hit,,,,,,,,,,,,,,,,,,,,
2025-02-07,DanGambleAIEdge,Devin Booker,NBA,3,Rebounds,Over ,7.5,6,1,,,,,,,,,,,,,,,,,,,,
2025-02-07,DanGambleAIEdge,Kelly Oubre Jr.,NBA,5,Rebounds,Over ,7.31,11,1,,,,,,,,,,,,,,,,,,,,
2025-02-07,DanGambleAIEdge,Walker Kessler,NBA,10,Rebounds,Over ,7.28,22,1,,,,,,,,,,,,,,,,,,,,
2025-02-07,DanGambleAIEdge,Gilgeous-Alexander,NBA,30,Points,Over ,7.15,25,0,,,,,,,,,,,,,,,,,,,,
2025-02-07,DanGambleAIEdge,Isaiah Hartenstein,NBA,10,Rebounds,Over ,7.11,6,0,,,,,,,,,,,,,,,,,,,,
2025-02-07,DanGambleAIEdge,Isaiah Collier,NBA,10,Points,Over ,7.02,15,1,,,,,,,,,,,,,,,,,,,,
2025-02-07,DanGambleAIEdge,Damian Lillard,NBA,7,Assists,Over ,6.93,10,1,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Josh Hart,NBA,5,Assists,Over ,8.9,6,1,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Austin Reaves,NBA,15,Points,Over ,8.47,15,1,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Malik Monk,NBA,3,Rebounds,Over ,8.44,4,1,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Jalen Duren,NBA,10,Points,Over ,8.31,16,1,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Isaiah Collier,NBA,7,Assists,Over ,8.26,9,1,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Malik Beasley,NBA,15,Points,Over ,8.11,14,0,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Jaylin Williams,NBA,5,Rebounds,Over ,7.93,6,1,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Kelly Oubre Jr.,NBA,5,Rebounds,Over ,7.87,3,0,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Domantas Sabonis,NBA,15,Points,Over ,7.71,16,1,,,,,,,,,,,,,,,,,,,,
2025-02-12,DanGambleAIEdge,Jamal Murray,NBA,5,Assists,Over ,7.48,5,1,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Bam Adebayo,NBA,3,Assists,Over ,9.42,1,0,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Franz Wagner,NBA,20,Points,Over ,8.85,25,1,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Jalen Duren,NBA,10,Points,Over ,8.43,21,1,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Darius Garland,NBA,15,Points,Over ,8.25,9,0,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Isaiah Collier,NBA,4,Rebounds,Over ,8.02,3,0,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Kel’el Ware,NBA,7,Rebounds,Over ,7.89,6,0,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Trey Murphy,NBA,4,Assists,Over ,7.71,6,1,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Moses Moody,NBA,10,Points,Over ,7.53,22,1,,,,,,,,,,,,,,,,,,,,
2025-02-21,DanGambleAIEdge,Anthony Edwards,NBA,5,Rebounds,Over ,7.44,4,0,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Bilal Coulibaly,NBA,3,Assists,Over ,8.53,2,0,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Nicolas Claxton,NBA,10,Points,Over ,8.27,8,0,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Keon Johnson,NBA,4,Rebounds,Over ,8.2,2,0,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Tyler Herro,NBA,20,Points,Over ,7.95,11,0,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Mike Conley,NBA,2,Rebounds,Over ,7.89,0,0,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Domantas Sabonis,NBA,12,Rebounds,Over ,7.82,10,0,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Bam Adebayo,NBA,15,Points,Over ,7.73,14,0,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Keegan Murray,NBA,10,Points,Over ,7.72,10,1,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,Tyrese Haliburton,NBA,8,Assists,Over ,7.65,15,1,,,,,,,,,,,,,,,,,,,,
2025-02-24,DanGambleAIEdge,DeMar DeRozan,NBA,3,Rebounds,Over ,7.58,7,1,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,Tyrese Haliburton,NBA,15,Points,Over ,9.23,28,1,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,Nicolas Claxton,NBA,8,Points,Over ,9.04,6,0,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,Darius Garland,NBA,5,Assists,Over ,8.55,7,1,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,Paolo Banchero,NBA,4,Assists,Over ,8.45,8,1,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,Mike Conley,NBA,5,Points,Over ,8.08,12,1,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,Dyson Daniels,NBA,5,Rebounds,Over ,7.9,9,1,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,Cam Thomas,NBA,3,Rebounds,Over ,7.87,1,0,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,James Harden,NBA,5,Rebounds,Over ,7.83,6,1,,,,,,,,,,,,,,,,,,,,
2025-03-04,DanGambleAIEdge,OG Anunoby,NBA,15,Points,Over ,7.72,29,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Kevin Durant,NBA,4,Assists,Over,8.88,5,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Shai Gilgeous-Alexander,NBA,5,Assists,Over,8.85,7,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Myles Turner,NBA,15,Points,Over,8.66,15,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Jrue Holiday,NBA,2,Assists,Over,8.23,4,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Aaron Wiggins,NBA,10,Points,Over,8.11,8,0,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Immanuel Quickley,NBA,4,Assists,Over,8.11,6,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Dillon Brooks,NBA,4,Rebounds,Over,8.03,4,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Bradley Beal,NBA,15,Points,Over,7.87,19,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Scottie Barnes,NBA,6,Rebounds,Over,7.83,13,1,,,,,,,,,,,,,,,,,,,,
2025-03-10,DanGambleAIEdge,Jaylen Brown,NBA,20,Points,Over,7.53,26,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Tyrese Haliburton,NBA,15,Points,Over,9.54,14,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Bogdan Bogdanovic,NBA,2,Assists,Over,9.08,1,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Jalen Duren,NBA,10,Points,Over,8.54,15,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Alexandre Sarr,NBA,2,Assists,Over,8.12,2,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Tobias Harris,NBA,5,Rebounds,Over,7.91,8,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Cade Cunningham,NBA,7,Assists,Over,7.56,10,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Kawhi Leonard,NBA,20,Points,Over,7.34,29,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Ivica Zubac,NBA,12,Rebounds,Over,6.92,11,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,James Harden,NBA,5,Rebounds,Over,6.43,4,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Giannis Antetokounmpo,NBA,20,Points,Over,6.05,19,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Devin Vassell,NBA,3,Assists,Over,9.41,3,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Duncan Robinson,NBA,10,Points,Over,8.78,14,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Tyrese Haliburton,NBA,18,Points,Over,7.82,14,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Khris Middleton,NBA,18,Points,Over,7.73,8,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Trey Murphy III,NBA,5,Rebounds,Over,7.64,4,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Karl-Anthony Towns,NBA,10,Rebounds,Over,6.95,9,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Nikola Jokic,NBA,25,Points,Over,6.85,35,1,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Jalen Green,NBA,20,Points ,Over,6.72,15,0,,,,,,,,,,,,,,,,,,,,
2025-03-11,DanGambleAIEdge,Tari Eason,NBA,6,Rebounds,Over,6.62,7,1,,,,,,,,,,,,,,,,,,,,
2025-03-16,DanGambleAIEdge,Shai Gilgeous-Alexander,NBA,30,Points,Over,8.86,31,1,,,,,,,,,,,,,,,,,,,,/
2025-03-16,DanGambleAIEdge,P.J. Washington,NBA,6,Rebounds,Over,7.72,12,1,,,,,,,,,,,,,,,,,,,,
2025-03-16,DanGambleAIEdge,Mike Conley,NBA,4,Assists,Over,7.01,4,1,,,,,,,,,,,,,,,,,,,,
2025-03-16,DanGambleAIEdge,Keon Johnson,NBA,10,Points,Over,6.94,22,1,,,,,,,,,,,,,,,,,,,,
2025-03-16,DanGambleAIEdge,Kawhi Leonard,NBA,5,Rebounds,Over,6.91,6,1,,,,,,,,,,,,,,,,,,,,
2025-03-16,DanGambleAIEdge,Paolo Banchero,NBA,6,Rebounds,Over,6.8,11,1,,,,,,,,,,,,,,,,,,,,
2025-03-16,DanGambleAIEdge,Anthony Edwards,NBA,25,Points,Over,6.65,41,1,,,,,,,,,,,,,,,,,,,,
2025-03-16,DanGambleAIEdge,Quentin Grimes,NBA,5,Rebounds,Over,6.59,2,0,,,,,,,,,,,,,,,,,,,,
2025-03-16,DanGambleAIEdge,Cam Johnson,NBA,18,Points,Over,6.21,28,1,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Jaden McDaniels,NBA,10,Points,Over,9.19,13,1,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Collin Sexton,NBA,15,Points,Over,8.53,22,1,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Immanuel Quickley,NBA,4,Rebounds,Over,8.32,7,1,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Nikola Jokic,NBA,12,Rebounds,Over,8.26,11.8,0,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Demor Derozan,NBA,20,Points,Over,8.01,22,1,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Donovan Clingan,NBA,8,Rebounds,Over,7.96,13,1,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Kevin Huerter,NBA,10,Points,Over,7.77,17,1,,,,,,,,,,,,,,,,,,,,
2025-03-17,DanGambleAIEdge,Tre Jones,NBA,10,Points,Over,7.69,18,1,,,,,,,,,,,,,,,,,,,,
